Row #,Category,Filename (ACTUAL),Chart Title,Timeframe,Status,Dashboard Location,Update Frequency,NOTES
37,SPD_INTER,SPDINTER_SRW_HRS_M.png,Chicago SRW minus Minneapolis HRS,Monthly,Published,Mid,Periodic,Protein premium
38,SPD_INTER,SPDINTER_SRW_HRS_W.png,Chicago SRW minus Minneapolis HRS (Weekly),Weekly,In Development,Mid,Periodic,Protein premium weekly
39,SPD_INTER,SPDINTER_HRS_HRW_M.png,Minneapolis HRS minus Kansas City HRW,Monthly,Published,Mid,Periodic,Quality differential
40,RATIO,RATIO_SRW_C_M.png,Wheat/Corn Ratio: Monthly,Monthly,Published,Bot,Periodic,Substitution economics
41,RATIO,RATIO_S_C_W.png,Soybeans/Corn Ratio: Weekly,Weekly,Published,Bot,Periodic,Planting decision ratio
42,COT,COT_SRW_W.png,Commitment of Traders: Chicago SRW,Weekly,Published,Mid,Weekly,Managed money positioning
43,COT,COT_HRW_W.png,Commitment of Traders: Kansas City HRW,Weekly,Published,Mid,Weekly,HRW positioning
44,BNDS,BNDS_2YR_TNOTE_W.png,2-Year T-Note Weekly,Weekly,Published,Bot,Weekly,Near-term rate expectations
45,BNDS,BNDS_10YR_Price_Q.png,10-Year Treasury Bond Price: Quarterly,Quarterly,Published,Bot,Quarterly,Economic outlook gauge
46,BNDS,BNDS_30YR_Price_Q.png,30-Year Treasury Bond Price: Quarterly,Quarterly,Published,Bot,Quarterly,Flight to quality signal
47,BNDS,BNDS_30YR_Yield_Q.png,30-Year Treasury Bond Yield: Quarterly,Quarterly,Published,Bot,Quarterly,Long-term borrowing cost
48,FX,FX_USD_WD_D.png,Australian Dollar Daily,Daily,Published,Bot,Daily,Competitor currency (AUD)
49,FX,FX_USD_WD_M.png,Australian Dollars per US Dollar: Monthly,Monthly,Published,Bot,Monthly,Long-term AUD trend
50,FX,FX_RUB_USD_M.png,Russian Rubles per US Dollar: Monthly,Monthly,Published,Bot,Monthly,Russian export competitiveness
51,FX,FX_CNY_USD_M.png,Chinese Yuan per US Dollar: Monthly,Monthly,Published,Bot,Monthly,China trade dynamics
52,FX,FX_RUB_CNY_W.png,Russian Rubles per Chinese Yuan: Weekly,Weekly,Published,Bot,Weekly,Black Sea-China corridor
53,NRG,NRG_CL_M.png,Crude Oil: Monthly,Monthly,Published,Bot,Monthly,Energy trend
54,NRG,NRG_HO_D.png,Diesel/Heating Oil Daily,Daily,Published,Bot,Daily,Input cost - immediate
55,NRG,NRG_NG_M.png,Natural Gas: Henry Hub Monthly,Monthly,Published,Bot,Monthly,Fertilizer feedstock
56,METL,METL_GC_D.png,Gold (COMEX) Daily,Daily,Published,Bot,Daily,Risk sentiment - immediate
57,METL,METL_GC_M.png,Gold (COMEX) Monthly,Monthly,Published,Bot,Monthly,Long-term risk gauge
58,METL,METL_SI_D.png,Silver (COMEX) Daily,Daily,Published,Bot,Daily,Industrial/monetary hybrid
59,METL,METL_HG_M.png,Copper (COMEX) Monthly,Monthly,Published,Bot,Monthly,Dr. Copper - economist's metal
60,IDX,IDX_DXY_W.png,US Dollar Index Weekly,Weekly,Published,Bot,Weekly,Currency impact
61,IDX,IDX_DXY_M.png,US Dollar Index Monthly,Monthly,In Development,Bot,Monthly,Dollar long-term trend
62,IDX,IDX_BDI_W.png,Baltic Dry Index (Bulk Freight) Weekly,Weekly,Published,Bot,Weekly,Shipping costs
63,IDX,IDX_ES_D.png,S&P 500 Index Daily,Daily,Published,Bot,Daily,Risk appetite
64,IDX,IDX_ES_M.png,S&P 500 Index Monthly,Monthly,Published,Bot,Monthly,Equity trend
65,IDX,IDX_GSCI_W.png,Goldman Sachs Commodity Index Weekly,Weekly,Published,Bot,Weekly,Commodity complex barometer
66,FIN,FIN_DE_D.png,John Deere & Co. Daily,Daily,Published,Bot,Daily,Farm economy bellwether
67,FIN,FIN_HD_D.png,The Home Depot Daily,Daily,Published,Bot,Daily,Consumer strength proxy
68,MISC,MISC_CC_M.png,Unknown/Crypto,Monthly,Unknown,Unknown,Unknown,EXTRA - needs documentation
,,,,,,,,,
,TOTAL ACTUAL FILES:,68,,,,,,,
,Published:,?,,,,,,,
,In Development/Unknown:,?,,,,,,,
