Row #,Category,Filename,Chart Title,SNIPPET,Timeframe,Status,NOTES,Dashboard Location,Update Frequency
38,SPD_INTRA,SPD_FWH_K2_U2.png,Paris Milling Spread: May+1/Sep+1,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPD_FWH_K2_U2.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Unknown,EXTRA â€“ undocumented variant. Needs review.,Mid,Unknown
39,SPD_INTRA,SPD_FWH_U_Z.png,Paris Milling Spread: Sep/Dec,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPD_FWH_U_Z.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,European fall carry.,Mid,Daily
40,SPD_INTRA,SPD_FWH_Z_H2.png,Paris Milling Spread: Dec/Mar+1yr,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPD_FWH_Z_H2.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,European winter carry.,Mid,Daily
41,SPD_INTER,SPDINTER_SRW_HRW_M.png,Chicago SRW vs Kansas City HRW,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_SRW_HRW_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Class premium/discount.,Mid,Periodic
42,SPD_INTER,SPDINTER_SRW_HRS_M.png,Chicago SRW vs Minneapolis HRS,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_SRW_HRS_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Protein premium.,Mid,Periodic
43,SPD_INTER,SPDINTER_SRW_HRS_W.png,Chicago SRW vs Minneapolis HRS (Weekly),"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_SRW_HRS_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,In Development,Protein premium â€“ weekly.,Mid,Periodic
44,SPD_INTER,SPDINTER_HRS_HRW_M.png,Minneapolis HRS vs Kansas City HRW,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_HRS_HRW_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Quality differential.,Mid,Periodic
45,SPD_INTER,SPDINTER_HRW_FWH_W.png,Paris Milling vs Kansas City HRW (Weekly),"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_HRW_FWH_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,RENAMED: was SPDINTER_FWH_HRW_W.png — corrected to match repo filename convention (HRW before FWH).,Mid,Periodic
46,SPD_INTER,SPDINTER_HRW_FWH_M.png,Paris Milling vs Kansas City HRW (Monthly),"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/SPDINTER_HRW_FWH_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,RENAMED: was SPDINTER_FWH_HRW_M.png — corrected to match repo filename convention (HRW before FWH). File confirmed in repo.,Mid,Periodic
47,RATIO,RATIO_SRW_C_M.png,Wheat/Corn Ratio: Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/RATIO_SRW_C_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Substitution economics.,Bot,Periodic
48,RATIO,RATIO_S_C_W.png,Soybeans/Corn Ratio: Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/RATIO_S_C_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Planting decision ratio.,Bot,Periodic
49,COT,COT_SRW_W.png,Commitment of Traders: Chicago SRW,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/COT_SRW_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Managed money positioning.,Mid,Weekly
50,COT,COT_HRW_W.png,Commitment of Traders: Kansas City HRW,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/COT_HRW_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,HRW positioning.,Mid,Weekly
51,BNDS,BNDS_2YR_TNOTE_W.png,2-Year T-Note Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/BNDS_2YR_TNOTE_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Near-term rate expectations.,Bot,Weekly
52,BNDS,BNDS_10YR_Price_Q.png,10-Year Treasury Bond Price: Quarterly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/BNDS_10YR_Price_Q.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Quarterly,Published,Economic outlook gauge.,Bot,Quarterly
53,BNDS,BNDS_30YR_Price_Q.png,30-Year Treasury Bond Price: Quarterly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/BNDS_30YR_Price_Q.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Quarterly,Published,Flight to quality signal.,Bot,Quarterly
54,BNDS,BNDS_30YR_Yield_Q.png,30-Year Treasury Bond Yield: Quarterly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/BNDS_30YR_Yield_Q.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Quarterly,Published,Long-term borrowing cost.,Bot,Quarterly
55,FX,FX_WD_D.png,Australian Dollar Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FX_WD_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Competitor currency (AUD). CORRECTED: prior index had FX_USD_WD_D.png â€“ repo filename is FX_WD_D.png.,Bot,Daily
56,FX,FX_WD_M.png,Australian Dollar Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FX_WD_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Long-term AUD trend. CORRECTED: prior index had FX_USD_WD_M.png â€“ repo filename is FX_WD_M.png.,Bot,Monthly
57,FX,FX_RUB_USD_M.png,Russian Rubles per US Dollar: Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FX_RUB_USD_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Russian export competitiveness.,Bot,Monthly
58,FX,FX_CNY_USD_M.png,Chinese Yuan per US Dollar: Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FX_CNY_USD_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,China trade dynamics.,Bot,Monthly
59,FX,FX_RUB_CNY_W.png,Russian Rubles per Chinese Yuan: Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FX_RUB_CNY_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Black Sea-China corridor.,Bot,Weekly
60,NRG,NRG_CL_M.png,Crude Oil: Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/NRG_CL_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Energy trend.,Bot,Monthly
61,NRG,NRG_CL_W.png,Crude Oil: Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/NRG_CL_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Energy trend â€“ weekly. ADDED: in repo but absent from prior indexes.,Bot,Weekly
62,NRG,NRG_HO_D.png,Diesel/Heating Oil Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/NRG_HO_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Input cost â€“ immediate.,Bot,Daily
63,NRG,NRG_NG_M.png,Natural Gas: Henry Hub Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/NRG_NG_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Fertilizer feedstock.,Bot,Monthly
64,METL,METL_GC_D.png,Gold (COMEX) Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/METL_GC_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Risk sentiment â€“ immediate.,Bot,Daily
65,METL,METL_GC_M.png,Gold (COMEX) Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/METL_GC_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Long-term risk gauge.,Bot,Monthly
66,METL,METL_SI_D.png,Silver (COMEX) Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/METL_SI_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Industrial/monetary hybrid.,Bot,Daily
67,METL,METL_HG_M.png,Copper (COMEX) Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/METL_HG_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Dr. Copper â€“ economist's metal.,Bot,Monthly
68,IDX,IDX_DXY_W.png,US Dollar Index Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_DXY_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Currency impact.,Bot,Weekly
69,IDX,IDX_DXY_M.png,US Dollar Index Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_DXY_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Dollar long-term trend. STATUS UPDATED: file confirmed in repo â€“ was incorrectly marked In Development.,Bot,Monthly
70,IDX,IDX_BDI_W.png,Baltic Dry Index (Bulk Freight) Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_BDI_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Shipping costs.,Bot,Weekly
71,IDX,IDX_ES_D.png,S&P 500 Index Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_ES_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Risk appetite.,Bot,Daily
72,IDX,IDX_ES_M.png,S&P 500 Index Monthly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_ES_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Published,Equity trend.,Bot,Monthly
73,IDX,IDX_GSCI_W.png,Goldman Sachs Commodity Index Weekly,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/IDX_GSCI_W.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Weekly,Published,Commodity complex barometer.,Bot,Weekly
74,FIN,FIN_DE_D.png,John Deere & Co. Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_DE_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Farm economy bellwether.,Bot,Daily
75,FIN,FIN_HD_D.png,The Home Depot Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_HD_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,Consumer strength proxy.,Bot,Daily
76,FIN,FIN_ADM_D.png,Archer-Daniels-Midland Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_ADM_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,ADDED: grain merchandising bellwether.,Bot,Daily
77,FIN,FIN_BG_D.png,Bunge Global Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_BG_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,ADDED: global grain origination proxy.,Bot,Daily
78,FIN,FIN_CAT_D.png,Caterpillar Inc. Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_CAT_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,ADDED: infrastructure / farm equipment demand proxy.,Bot,Daily
79,FIN,FIN_CHSCP_D.png,CHS Inc. Preferred Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_CHSCP_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,ADDED: cooperative grain handler equity signal.,Bot,Daily
80,FIN,FIN_UNP_D.png,Union Pacific Railroad Daily,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/FIN_UNP_D.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Daily,Published,ADDED: grain rail transport bellwether.,Bot,Daily
82,MISC,MISC_CC_M.png,Unknown/Crypto,"<img src=""https://raw.githubusercontent.com/MARKETBULLETSLLC/WEBSITECHARTS/main/charts/MISC_CC_M.png"" style=""width:100%; display:block; margin:0; padding:0;"" />",Monthly,Unknown,EXTRA â€“ needs documentation. Identify and assign category.,Unknown,Unknown
,,,,,,,,,
,TOTAL:,81,,,,,,,
,In Development:,1,,,,,,,
,Published:,78,,,,,,,
,Unknown:,2,,,,,,,
,CSV regenerated from xlsx + live charts/ on 2026-07-14,,,,,,,,
